,date,N,S,V,E,I1,I2,I3,R,D
1,4/10/2021,6629870,3674149,2845438,67789,12113,498,96,28911,876
2,5/10/2021,6629870,3626614,2896816,62189,13746,517,101,29007,880
3,6/10/2021,6629870,3562970,2949785,71451,13787,525,94,30367,891
4,7/10/2021,6629870,3490102,3015264,77238,14391,564,115,31303,893
5,8/10/2021,6629870,3429485,3073742,77554,16085,620,114,31372,898
6,9/10/2021,6629870,3368758,3136657,73443,16500,578,117,32914,903
7,10/10/2021,6629870,3310325,3192556,74105,17603,609,126,33638,908
8,11/10/2021,6629870,3269454,3232808,73138,18198,677,133,34546,916
9,12/10/2021,6629870,3210282,3295181,68509,18804,675,144,35351,924
10,13/10/2021,6629870,3131707,3361492,79200,19006,705,146,36677,937
11,14/10/2021,6629870,3057538,3429860,82762,19004,706,147,38905,948
12,15/10/2021,6629870,2995212,3498847,73942,20468,695,157,39595,954
13,16/10/2021,6629870,2916503,3570317,79214,20682,798,163,41232,961
14,17/10/2021,6629870,2860795,3629969,73501,22444,777,151,41265,968
15,18/10/2021,6629870,2818046,3674542,69825,21317,851,155,44159,975
16,19/10/2021,6629870,2741989,3750000,68702,21539,784,149,45721,986
17,20/10/2021,6629870,2652935,3827009,78928,21661,786,147,47406,998
18,21/10/2021,6629870,2575829,3901346,79544,21965,779,141,49256,1010
19,22/10/2021,6629870,2497346,3980148,77036,22297,784,145,51088,1026
20,23/10/2021,6629870,2421457,4058669,72858,22246,770,144,52691,1035
21,24/10/2021,6629870,2359839,4121644,69624,24056,787,146,52728,1046
22,25/10/2021,6629870,2331620,4161193,56905,23873,802,152,54272,1053
23,26/10/2021,6629870,2261698,4230842,55679,23747,817,147,55883,1057
24,27/10/2021,6629870,2170860,4292702,83210,23274,748,138,57868,1070
25,28/10/2021,6629870,2113380,4348900,82648,21302,746,137,61662,1095
26,29/10/2021,6629870,2066848,4406279,70180,22858,738,130,61732,1105
27,30/10/2021,6629870,2010110,4463382,68484,20209,747,135,65687,1116
28,31/10/2021,6629870,1977587,4506691,56768,21179,702,128,65687,1128
29,1/11/2021,6629870,1964486,4529058,46065,21120,699,136,67174,1132
30,2/11/2021,6629870,1908576,4582075,48002,18611,667,127,70671,1141
31,3/11/2021,6629870,1878347,4596119,63278,17583,657,117,72620,1149
32,4/11/2021,6629870,1842498,4643853,50180,16896,660,114,74511,1158
33,5/11/2021,6629870,1779259,4689787,66155,18205,634,109,74553,1168
34,6/11/2021,6629870,1734880,4733663,65410,15901,651,106,78084,1175
35,7/11/2021,6629870,1715055,4761123,56649,15745,568,96,79450,1184
36,8/11/2021,6629870,1712582,4774679,44479,15527,556,91,80767,1189
37,9/11/2021,6629870,1674747,4808146,47794,14934,579,90,82381,1199
38,10/11/2021,6629870,1620480,4837627,71601,14472,471,84,83922,1213
39,11/11/2021,6629870,1595701,4865613,67105,15135,457,79,84563,1217
40,12/11/2021,6629870,1564607,4894786,67925,15586,426,82,85232,1226
41,13/11/2021,6629870,1541300,4923992,60818,16185,405,77,85863,1230
42,14/11/2021,6629870,1520025,4940981,64218,16829,394,75,86114,1234
43,15/11/2021,6629870,1527173,4949109,48104,17058,378,78,86731,1239
44,16/11/2021,6629870,1497922,4972159,53527,13661,394,72,90888,1247
45,17/11/2021,6629870,1458624,4991991,72010,13841,357,58,91733,1256
46,18/11/2021,6629870,1439039,5010330,72270,13410,337,63,93155,1266
47,19/11/2021,6629870,1418440,5028915,73020,13422,330,57,94412,1274
48,20/11/2021,6629870,1410680,5044478,64050,9210,312,55,99806,1279
49,21/11/2021,6629870,1400670,5055624,61650,9255,317,56,101015,1283
50,22/11/2021,6629870,1409300,5057810,49818,9176,316,44,102120,1286
51,23/11/2021,6629870,1387054,5080634,48427,9066,303,44,103037,1305
52,24/11/2021,6629870,1349732,5092441,72754,9431,284,52,103868,1308
53,25/11/2021,6629870,1332822,5105511,75348,9911,310,48,104607,1313
54,26/11/2021,6629870,1319930,5118977,73419,10526,308,46,105344,1320
55,27/11/2021,6629870,1321512,5132289,57292,10909,299,42,106202,1325
56,28/11/2021,6629870,1319124,5138001,52930,10997,283,44,107162,1329
57,29/11/2021,6629870,1320270,5140389,48397,11149,300,45,107988,1332
58,30/11/2021,6629870,1312368,5150117,45658,11064,305,41,108979,1338
59,1/12/2021,6629870,1275524,5157204,74252,11609,299,43,109595,1344
60,2/12/2021,6629870,1271122,5164106,70343,12391,288,41,110225,1354
